speaker,start_time,end_time,utterance,duration_in_seconds,start_time_in_seconds,end_time_in_seconds,bubble_idx,opportunities_to_respond,wait_times,presses_for_explanation,open_ended_questions,praises,behavior_specific_praises,academic_specific_praises
teacher,1m 21s,1m 23s,I have fun crap to do today.,2.16,81.01,83.17,22,,,,,,,
teacher,1m 23s,1m 23s,,0.16,83.17,83.33,22,,,,,,,
teacher,1m 23s,1m 23s,Shut up.,0.44,83.33,83.77,22,,,,,,,
teacher,1m 23s,1m 24s,"Yes, it is Matt Moles.",1.0,83.77,84.77,22,,,,,,,
teacher,1m 24s,1m 27s,"Okay, we're gonna watch movie clips.",3.04,84.77,87.81,22,,,,,,,
student,1m 27s,1m 28s,[Untranscribed],1.04,87.81,88.85,23,,,,,,,
teacher,1m 28s,1m 31s,But I can just make it a worksheet if you would like.,2.56,88.85,91.41,24,,,,,,,
teacher,1m 31s,1m 32s,,0.64,91.41,92.05,24,,,,,,,
teacher,1m 32s,1m 32s,Yeah.,0.48,92.05,92.53,24,,,,,,,
teacher,1m 32s,1m 32s,,0.32,92.53,92.85,24,,,,,,,
teacher,1m 32s,1m 34s,So you are on Quill.,1.28,92.85,94.13,24,,,,,,,
teacher,1m 34s,1m 34s,,0.16,94.13,94.29,24,,,,,,,
teacher,1m 34s,1m 36s,You should have done your baseline diagnostic.,2.4,94.29,96.69,24,,,,,,,
teacher,1m 36s,1m 37s,,0.8,96.69,97.49,24,,,,,,,
teacher,1m 37s,1m 41s,"Now, from here on out, we're doing bell work on Quill.",3.8,97.49,101.29,24,,,,,,,
teacher,1m 41s,1m 42s,I'm giving you assignments.,1.32,101.29,102.61,24,,,,,,,
teacher,1m 42s,1m 43s,,1.36,102.61,103.97,24,,,,,,,
teacher,1m 43s,1m 49s,"There's, like, 15 assignments assigned to each of you right now.",5.28,103.97,109.25,24,,,,,,,
teacher,1m 49s,1m 49s,,0.48,109.25,109.73,24,,,,,,,
teacher,1m 49s,1m 52s,We only have 10 minutes to do bell work each day.,2.72,109.73,112.45,24,,,,,,,
teacher,1m 52s,1m 52s,,0.24,112.45,112.69,24,,,,,,,
teacher,1m 52s,1m 55s,Your goal is to do at least one.,2.8,112.69,115.49,24,,,,,,,
teacher,1m 55s,1m 56s,,0.8,115.49,116.29,24,,,,,,,
teacher,1m 56s,2m 3s,"If you do finish the one, move on to number two, baby.",7.28,116.29,123.57,24,,,,,,,
teacher,2m 3s,2m 4s,Yeah.,0.48,123.57,124.05,24,,,,,,,
teacher,2m 4s,2m 4s,,0.48,124.05,124.53,24,,,,,,,
teacher,2m 4s,2m 6s,Send Cardi Hop to the office for just a minute.,2.32,124.53,126.85,24,,,,,,,
teacher,2m 6s,2m 7s,,0.4,126.85,127.25,24,,,,,,,
teacher,2m 7s,2m 8s,Carly is not here.,1.28,127.25,128.53,24,,,,,,,
teacher,2m 8s,2m 8s,,0.4,128.53,128.93,24,,,,,,,
teacher,2m 8s,2m 9s,Okay.,0.56,128.93,129.49,24,,,,,,,
teacher,2m 9s,2m 9s,,0.08,129.49,129.57,24,,,,,,,
student,2m 9s,2m 10s,Thank you.,0.64,129.57,130.21,25,,,,,,,
student,2m 10s,2m 12s,,2.73,130.21,132.94,25,,,,,,,
teacher,2m 12s,2m 13s,Thank you for counting.,1.04,132.94,133.98,26,,,,,1,1,
teacher,2m 13s,2m 14s,"Oh, yeah.",0.48,133.98,134.46,26,,,,,,,
teacher,2m 14s,2m 15s,You're still working.,0.64,134.46,135.1,26,,,,,,,
teacher,2m 15s,2m 15s,,0.56,135.1,135.66,26,,,,,,,
student,2m 15s,2m 16s,I didn't count.,0.72,135.66,136.38,27,,,,,,,
student,2m 16s,2m 16s,,0.56,136.38,136.94,27,,,,,,,
teacher,2m 16s,2m 17s,Do one.,0.64,136.94,137.58,28,,,,,,,
teacher,2m 17s,2m 17s,,0.08,137.58,137.66,28,,,,,,,
teacher,2m 17s,2m 19s,That's your baseline goal.,2.12,137.66,139.78,28,,,,,,,
teacher,2m 19s,2m 22s,"But if you finish, I want you working the whole 10 minutes.",3.0,139.78,142.78,28,,,,,,,
teacher,2m 22s,2m 23s,,0.4,142.78,143.18,28,,,,,,,
teacher,2m 23s,2m 24s,The goal isn't how many you can finish.,1.64,143.18,144.82,28,,,,,,,
teacher,2m 24s,2m 26s,It's working the whole time.,1.56,144.82,146.38,28,,,,,,,
teacher,2m 26s,2m 26s,,0.16,146.38,146.54,28,,,,,,,
teacher,2m 26s,2m 26s,Yeah.,0.4,146.54,146.94,28,,,,,,,
teacher,2m 26s,2m 27s,Okay.,0.48,146.94,147.42,28,,,,,,,
teacher,2m 27s,2m 27s,,0.24,147.42,147.66,28,,,,,,,
teacher,2m 27s,2m 30s,"If you finish the first one, move on to the second one.",2.8,147.66,150.46,28,,,,,,,
teacher,2m 30s,2m 30s,,0.08,150.46,150.54,28,,,,,,,
teacher,2m 30s,2m 32s,"If you don't finish the first one, that's fine.",1.8,150.54,152.34,28,,,,,,,
teacher,2m 32s,2m 33s,As long as you're working full time.,1.04,152.34,153.38,28,,,,,,,
teacher,2m 33s,2m 33s,Yes.,0.24,153.38,153.62,28,,,,,,,
teacher,2m 33s,2m 34s,Ibrahim.,0.52,153.62,154.14,28,,,,,,,
teacher,2m 34s,2m 34s,,0.247,154.14,154.387,28,,,,,,,
student,2m 34s,2m 35s,[Untranscribed],1.033,154.387,155.42,29,,,,,,,
teacher,2m 35s,2m 36s,Is it a personal question?,1.12,155.42,156.54,30,,,,,,,
teacher,2m 36s,2m 37s,,0.56,156.54,157.1,30,,,,,,,
teacher,2m 37s,2m 37s,Individual question?,0.64,157.1,157.74,30,,,,,,,
student,2m 37s,2m 38s,Whichever one I want.,1.08,157.74,158.82,31,,,,,,,
teacher,2m 38s,2m 39s,"Like, it's up to you.",0.96,158.82,159.78,32,,,,,,,
teacher,2m 39s,2m 40s,Yeah.,0.36,159.78,160.14,32,,,,,,,
teacher,2m 40s,2m 40s,,0.16,160.14,160.3,32,,,,,,,
teacher,2m 40s,2m 42s,As long as you guys are doing one of the assignments.,2.24,160.3,162.54,32,,,,,,,
student,2m 42s,2m 51s,[Untranscribed],9.44,162.54,171.98,33,,,,,,,
media,2m 51s,2m 52s,"Yeah, I'm lucky.",0.8,171.98,172.78,34,,,,,,,
student,2m 52s,2m 54s,[Untranscribed],1.92,172.78,174.7,35,,,,,,,
teacher,2m 54s,2m 56s,I'm going Canon Fireball.,1.84,174.7,176.54,36,,,,,,,
teacher,2m 56s,2m 56s,,0.08,176.54,176.62,36,,,,,,,
teacher,2m 56s,2m 58s,I'm going Sneaky Golem.,1.52,176.62,178.14,36,,,,,,,
student,2m 58s,3m 0s,[Untranscribed],2.16,178.14,180.3,37,,,,,,,
teacher,3m 0s,3m 1s,What are you doing?,0.88,180.3,181.18,38,,,,,,,
teacher,3m 1s,3m 1s,,0.32,181.18,181.5,38,,,,,,,
student,3m 1s,3m 3s,"Oh, are you playing Clash Trash Royale?",2.24,181.5,183.74,39,,,,,,,
student,3m 3s,3m 3s,,0.08,183.74,183.82,39,,,,,,,
teacher,3m 3s,3m 4s,Yo.,0.44,183.82,184.26,40,,,,,,,
student,3m 4s,3m 7s,"I know, except there's only, like, 10 cards to choose it.",3.32,184.26,187.58,41,,,,,,,
teacher,3m 7s,3m 8s,I use.,0.56,187.58,188.14,42,,,,,,,
student,3m 8s,3m 12s,[Untranscribed],4.0,188.14,192.14,43,,,,,,,
teacher,3m 12s,3m 14s,[Untranscribed],2.0,192.14,194.14,44,,,,,,,
student,3m 14s,3m 16s,[Untranscribed],2.56,194.14,196.7,45,,,,,,,
teacher,3m 16s,3m 18s,"Hey, what do you want to listen to?",1.44,196.7,198.14,46,1,,,1,,,
student,3m 18s,3m 35s,[Untranscribed],17.4,198.14,215.54,47,,,,,,,
teacher,3m 35s,3m 37s,"Okay, we are quiet from now on.",2.32,215.54,217.86,48,,,,,,,
student,3m 37s,3m 38s,[Untranscribed],1.12,217.86,218.98,49,,,,,,,
teacher,3m 38s,3m 42s,"For the next 10 minutes, you're working on your assignment and are in your seat.",3.52,218.98,222.5,50,,,,,,,
teacher,3m 42s,3m 42s,,0.011,222.5,222.511,50,,,,,,,
student,3m 42s,3m 43s,[Untranscribed],1.109,222.511,223.62,51,,,,,,,
teacher,3m 43s,3m 44s,Sit down.,0.72,223.62,224.34,52,,,,,,,
teacher,3m 44s,3m 45s,,0.96,224.34,225.3,52,,,,,,,
teacher,3m 45s,3m 45s,Yeah.,0.48,225.3,225.78,52,,,,,,,
student,3m 45s,3m 48s,[Untranscribed],2.24,225.78,228.02,53,,,,,,,
teacher,3m 48s,3m 49s,"No, you can do whatever you want.",1.72,228.02,229.74,54,,,,,,,
teacher,3m 49s,3m 50s,I don't care.,0.52,229.74,230.26,54,,,,,,,
teacher,3m 50s,3m 50s,,0.32,230.26,230.58,54,,,,,,,
teacher,3m 50s,3m 53s,"Let me take attendance, and then I'll figure stuff out.",2.48,230.58,233.06,54,,,,,,,
student,3m 53s,4m 6s,[Untranscribed],13.26,233.06,246.32,55,,,,,,,
teacher,4m 6s,4m 7s,You guys are bad listeners.,1.52,246.32,247.84,56,,,,,,,
teacher,4m 7s,4m 8s,,0.24,247.84,248.08,56,,,,,,,
teacher,4m 8s,4m 8s,Be quiet.,0.8,248.08,248.88,56,,,,,,,
teacher,4m 8s,4m 9s,,0.479,248.88,249.359,56,,,,,,,
silence,4m 9s,4m 12s,,2.881,249.359,252.24,57,,,,,,,
teacher,4m 12s,4m 12s,Thank you.,0.64,252.24,252.88,58,,,,,,,
student,4m 12s,4m 17s,[Untranscribed],4.4,252.88,257.28,59,,,,,,,
teacher,4m 17s,4m 17s,I'm coming.,0.64,257.28,257.92,60,,,,,,,
student,4m 17s,4m 19s,[Untranscribed],2.0,257.92,259.92,61,,,,,,,
teacher,4m 19s,4m 20s,Give me a sec.,0.72,259.92,260.64,62,,,,,,,
silence,4m 20s,4m 23s,,2.86,260.64,263.5,63,,,,,,,
student,4m 23s,4m 25s,[Untranscribed],2.19,263.5,265.69,64,,,,,,,
teacher,4m 25s,4m 26s,Okay.,0.48,265.69,266.17,65,,,,,,,
teacher,4m 26s,4m 26s,,0.08,266.17,266.25,65,,,,,,,
student,4m 26s,4m 30s,"That's what Ephraim said try closing out of it, walking back in.",4.64,266.25,270.89,66,,,,,,,
student,4m 30s,4m 32s,,1.2,270.89,272.09,66,,,,,,,
student,4m 32s,4m 33s,Are you kidding me?,0.96,272.09,273.05,66,,,,,,,
student,4m 33s,4m 34s,,1.84,273.05,274.89,66,,,,,,,
student,4m 34s,4m 36s,Try a different assignment.,1.52,274.89,276.41,66,,,,,,,
student,4m 36s,4m 36s,,0.4,276.41,276.81,66,,,,,,,
teacher,4m 36s,4m 37s,"Yeah,",0.48,276.81,277.29,67,,,,,,,
student,4m 37s,4m 40s,[Untranscribed],3.04,277.29,280.33,68,,,,,,,
teacher,4m 40s,4m 41s,I'm taking attendance.,1.28,280.33,281.61,69,,,,,,,
student,4m 41s,4m 45s,[Untranscribed],3.912,281.61,285.522,70,,,,,,,
silence,4m 45s,4m 48s,,2.599,285.522,288.121,71,,,,,,,
student,4m 48s,4m 52s,[Untranscribed],4.185,288.121,292.306,72,,,,,,,
silence,4m 52s,4m 55s,,3.324,292.306,295.63,73,,,,,,,
student,4m 55s,4m 58s,[Untranscribed],2.514,295.63,298.145,74,,,,,,,
silence,4m 58s,5m 0s,,2.346,298.145,300.49,75,,,,,,,
student,5m 0s,5m 4s,[Untranscribed],3.53,300.49,304.02,76,,,,,,,
teacher,5m 4s,5m 4s,I'm coming.,0.44,304.02,304.46,77,,,,,,,
teacher,5m 4s,5m 4s,Key in.,0.52,304.46,304.98,77,,,,,,,
teacher,5m 4s,5m 5s,Sorry.,0.4,304.98,305.38,77,,,,,,,
silence,5m 5s,5m 8s,,2.704,305.38,308.084,78,,,,,,,
student,5m 8s,5m 9s,[Untranscribed],1.417,308.084,309.502,79,,,,,,,
silence,5m 9s,5m 11s,,2.008,309.502,311.51,80,,,,,,,
student,5m 11s,5m 13s,[Untranscribed],2.228,311.51,313.737,81,,,,,,,
silence,5m 13s,5m 15s,,1.772,313.737,315.509,82,,,,,,,
student,5m 15s,5m 17s,[Untranscribed],2.261,315.509,317.77,83,,,,,,,
silence,5m 17s,5m 25s,,7.729,317.77,325.499,84,,,,,,,
student,5m 25s,5m 26s,[Untranscribed],1.012,325.499,326.512,85,,,,,,,
silence,5m 26s,5m 30s,,3.864,326.512,330.376,86,,,,,,,
student,5m 30s,5m 36s,[Untranscribed],6.615,330.376,336.991,87,,,,,,,
silence,5m 36s,5m 39s,,2.042,336.991,339.033,88,,,,,,,
student,5m 39s,5m 42s,,3.647,339.033,342.68,89,,,,,,,
student,5m 42s,5m 42s,I.,0.24,342.68,342.92,89,,,,,,,
student,5m 42s,5m 44s,,1.58,342.92,344.5,89,,,,,,,
silence,5m 44s,5m 47s,,3.358,344.5,347.858,90,,,,,,,
student,5m 47s,5m 56s,[Untranscribed],8.64,347.858,356.498,91,,,,,,,
silence,5m 56s,5m 59s,,3.004,356.498,359.502,92,,,,,,,
student,5m 59s,6m 1s,[Untranscribed],2.008,359.502,361.51,93,,,,,,,
silence,6m 1s,6m 6s,,4.995,361.51,366.505,94,,,,,,,
student,6m 6s,6m 16s,[Untranscribed],9.838,366.505,376.343,95,,,,,,,
silence,6m 16s,6m 18s,,2.565,376.343,378.908,96,,,,,,,
student,6m 18s,6m 43s,[Untranscribed],24.132,378.908,403.04,97,,,,,,,
teacher,6m 43s,6m 44s,"For some people, it's not showing up.",1.92,403.04,404.96,98,,,,,,,
teacher,6m 44s,6m 45s,,0.48,404.96,405.44,98,,,,,,,
teacher,6m 45s,6m 47s,Try going into a different assignment.,1.72,405.44,407.16,98,,,,,,,
teacher,6m 47s,6m 48s,Quill's kind of glitching out a little bit.,1.56,407.16,408.72,98,,,,,,,
student,6m 48s,6m 49s,Yo.,0.56,408.72,409.28,99,,,,,,,
student,6m 49s,6m 49s,,0.08,409.28,409.36,99,,,,,,,
student,6m 49s,6m 51s,I also get feedback.,1.76,409.36,411.12,99,,,,,,,
student,6m 51s,6m 59s,,7.93,411.12,419.05,99,,,,,,,
student,6m 59s,6m 59s,It,0.24,419.05,419.29,99,,,,,,,
student,6m 59s,7m 6s,,7.594,419.29,426.884,99,,,,,,,
silence,7m 6s,7m 14s,,7.982,426.884,434.866,100,,,,,,,
student,7m 14s,7m 20s,[Untranscribed],5.856,434.866,440.722,101,,,,,,,
silence,7m 20s,7m 22s,,1.89,440.722,442.612,102,,,,,,,
student,7m 22s,7m 34s,[Untranscribed],11.897,442.612,454.508,103,,,,,,,
silence,7m 34s,7m 39s,,4.894,454.508,459.402,104,,,,,,,
student,7m 39s,7m 45s,,5.818,459.402,465.22,105,,,,,,,
student,7m 45s,7m 45s,100.,0.48,465.22,465.7,105,,,,,,,
student,7m 45s,7m 46s,,0.88,465.7,466.58,105,,,,,,,
student,7m 46s,7m 47s,Nice work.,0.8,466.58,467.38,105,,,,,,,
student,7m 47s,7m 50s,,2.73,467.38,470.11,105,,,,,,,
student,7m 50s,8m 0s,It's,10.0,470.11,480.11,105,,,,,,,
silence,8m 0s,8m 4s,,4.385,480.11,484.495,106,,,,,,,
student,8m 4s,8m 7s,[Untranscribed],2.835,484.495,487.33,107,,,,,,,
silence,8m 7s,8m 10s,,2.67,487.33,490,108,,,,,,,
group,8m 10s,8m 15s,[Untranscribed],5.64,490,495.64,109,,,,,,,
student,8m 15s,8m 25s,Sam.,10.0,495.64,505.64,110,,,,,,,
student,8m 25s,8m 41s,,15.53,505.64,521.17,110,,,,,,,
student,8m 41s,8m 41s,It.,0.24,521.17,521.41,110,,,,,,,
silence,8m 41s,8m 43s,,2.1,521.41,523.51,111,,,,,,,
student,8m 43s,8m 45s,[Untranscribed],2.211,523.51,525.721,112,,,,,,,
silence,8m 45s,8m 50s,,4.776,525.721,530.497,113,,,,,,,
student,8m 50s,8m 52s,[Untranscribed],2.008,530.497,532.505,114,,,,,,,
silence,8m 52s,9m 0s,,7.526,532.505,540.031,115,,,,,,,
student,9m 0s,9m 1s,[Untranscribed],1.401,540.031,541.432,116,,,,,,,
silence,9m 1s,9m 3s,,2.464,541.432,543.895,117,,,,,,,
student,9m 3s,9m 11s,[Untranscribed],7.611,543.895,551.506,118,,,,,,,
silence,9m 11s,9m 17s,,5.991,551.506,557.497,119,,,,,,,
student,9m 17s,9m 22s,,5.443,557.497,562.94,120,,,,,,,
student,9m 22s,9m 24s,"No, madam.",1.68,562.94,564.62,120,,,,,,,
student,9m 24s,9m 25s,,1.04,564.62,565.66,120,,,,,,,
media,9m 25s,9m 26s,Not now.,0.52,565.66,566.18,121,,,,,,,
student,9m 26s,9m 26s,Honey.,0.52,566.18,566.7,122,,,,,,,
student,9m 26s,9m 27s,,1.28,566.7,567.98,122,,,,,,,
student,9m 27s,9m 29s,I hate Quill.,1.2,567.98,569.18,122,,,,,,,
student,9m 29s,9m 31s,,2.0,569.18,571.18,122,,,,,,,
teacher,9m 31s,9m 31s,Hates you.,0.8,571.18,571.98,123,,,,,,,
student,9m 31s,9m 35s,,4.01,571.98,575.99,124,,,,,,,
student,9m 35s,9m 37s,I'm the reason why Quill's getting money right now.,1.92,575.99,577.91,124,,,,,,,
student,9m 37s,9m 38s,,1.04,577.91,578.95,124,,,,,,,
teacher,9m 38s,9m 39s,You're the reason.,0.8,578.95,579.75,125,,,,,,,
teacher,9m 39s,9m 39s,,0.24,579.75,579.99,125,,,,,,,
teacher,9m 39s,9m 40s,I'm the reason.,0.8,579.99,580.79,125,,,,,,,
teacher,9m 40s,9m 41s,,0.56,580.79,581.35,125,,,,,,,
student,9m 41s,9m 41s,Okay.,0.56,581.35,581.91,126,,,,,,,
student,9m 41s,9m 42s,,0.4,581.91,582.31,126,,,,,,,
student,9m 42s,9m 43s,"Well, I'm on it.",0.96,582.31,583.27,126,,,,,,,
student,9m 43s,9m 47s,,3.84,583.27,587.11,126,,,,,,,
student,9m 47s,9m 47s,I didn't want to say.,0.76,587.11,587.87,126,,,,,,,
student,9m 47s,9m 48s,That's all that matters.,1.08,587.87,588.95,126,,,,,,,
student,9m 48s,9m 51s,,2.48,588.95,591.43,126,,,,,,,
teacher,9m 51s,9m 53s,That's a strong sentence.,1.76,591.43,593.19,127,,,,,1,,1
student,9m 53s,9m 58s,,5.21,593.19,598.4,128,,,,,,,
student,9m 58s,10m 1s,Are you good at t joint?,3.2,598.4,601.6,128,,,,,,,
student,10m 1s,10m 5s,,3.4,601.6,605,128,,,,,,,
group,10m 5s,10m 16s,[Untranscribed],11.51,605,616.51,129,,,,,,,
teacher,10m 16s,10m 20s,[Untranscribed],3.49,616.51,620,130,,,,,,,
student,10m 20s,10m 24s,,4.65,620,624.65,131,,,,,,,
student,10m 24s,10m 25s,Can I go sit behind?,0.8,624.65,625.45,131,,,,,,,
student,10m 25s,10m 32s,,6.56,625.45,632.01,131,,,,,,,
teacher,10m 32s,10m 33s,We've only got three minutes left.,1.52,632.01,633.53,132,,,,,,,
teacher,10m 33s,10m 34s,,1.018,633.53,634.548,132,,,,,,,
student,10m 34s,10m 36s,[Untranscribed],2.422,634.548,636.97,133,,,,,,,
teacher,10m 36s,10m 37s,Yep.,0.48,636.97,637.45,134,,,,,,,
student,10m 37s,11m 12s,[Untranscribed],34.847,637.45,672.297,135,,,,,,,
silence,11m 12s,11m 14s,,2.443,672.297,674.74,136,,,,,,,
student,11m 14s,11m 24s,It's.,10.0,674.74,684.74,137,,,,,,,
student,11m 24s,11m 27s,,2.762,684.74,687.502,137,,,,,,,
silence,11m 27s,11m 30s,,3.004,687.502,690.505,138,,,,,,,
student,11m 30s,11m 33s,[Untranscribed],3.071,690.505,693.577,139,,,,,,,
silence,11m 33s,11m 36s,,2.919,693.577,696.496,140,,,,,,,
student,11m 36s,11m 40s,[Untranscribed],3.694,696.496,700.19,141,,,,,,,
teacher,11m 40s,11m 40s,That's a strong.,0.56,700.19,700.75,142,,,,,1,,
student,11m 40s,11m 43s,[Untranscribed],2.8,700.75,703.55,143,,,,,,,
teacher,11m 43s,11m 44s,Why can't I get feedback?,1.36,703.55,704.91,144,,,,,,,
teacher,11m 44s,11m 46s,,1.593,704.91,706.503,144,,,,,,,
student,11m 46s,11m 50s,[Untranscribed],3.497,706.503,710,145,,,,,,,
group,11m 50s,11m 55s,[Untranscribed],5,710,715,146,,,,,,,
student,11m 55s,12m 7s,,12.16,715,727.16,147,,,,,,,
student,12m 7s,12m 8s,"Way to go, Everett.",0.84,727.16,728.0,147,,,,,,,
student,12m 8s,12m 9s,That's the correct sentence.,1.8,728.0,729.8,147,,,,,,,
student,12m 9s,12m 15s,,5.2,729.8,735,147,,,,,,,
group,12m 15s,12m 30s,[Untranscribed],15,735,750,148,,,,,,,
student,12m 30s,12m 32s,[Untranscribed],2.504,750,752.504,149,,,,,,,
silence,12m 32s,12m 34s,,1.991,752.504,754.495,150,,,,,,,
student,12m 34s,12m 35s,[Untranscribed],1.075,754.495,755.57,151,,,,,,,
teacher,12m 35s,12m 35s,Okay.,0.36,755.57,755.93,152,,,,,,,
teacher,12m 35s,12m 37s,Who else wants to get tagged for the test?,2.04,755.93,757.97,152,,,,,,,
student,12m 37s,12m 40s,[Untranscribed],2.56,757.97,760.53,153,,,,,,,
teacher,12m 40s,12m 41s,I would love to get tagged.,1.08,760.53,761.61,154,,,,,,,
teacher,12m 41s,12m 41s,Okay.,0.36,761.61,761.97,154,,,,,,,
teacher,12m 41s,12m 42s,,0.4,761.97,762.37,154,,,,,,,
teacher,12m 42s,12m 43s,Come talk to me.,1.04,762.37,763.41,154,,,,,,,
teacher,12m 43s,12m 43s,,0.417,763.41,763.827,154,,,,,,,
student,12m 43s,12m 45s,[Untranscribed],1.173,763.827,765,155,,,,,,,
group,12m 45s,12m 47s,[Untranscribed],2.83,765,767.83,156,,,,,,,
teacher,12m 47s,12m 50s,[Untranscribed],2.17,767.83,770,157,,,,,,,
student,12m 50s,12m 53s,[Untranscribed],3.25,770,773.25,158,,,,,,,
teacher,12m 53s,12m 54s,"Okay, I got you.",0.96,773.25,774.21,159,,,,,,,
student,12m 54s,12m 55s,I didn't get tagged for the test.,1.36,774.21,775.57,160,,,,,,,
student,12m 55s,12m 57s,,1.61,775.57,777.18,160,,,,,,,
teacher,12m 57s,12m 57s,Okay.,0.48,777.18,777.66,161,,,,,,,
teacher,12m 57s,12m 57s,,0.08,777.66,777.74,161,,,,,,,
teacher,12m 57s,13m 0s,Come over here if you would like to be tagged.,3.12,777.74,780.86,161,,,,,,,
teacher,13m 0s,13m 0s,,0.08,780.86,780.94,161,,,,,,,
student,13m 0s,13m 1s,I didn't get tagged.,1.04,780.94,781.98,162,,,,,,,
student,13m 1s,13m 10s,,8.678,781.98,790.658,162,,,,,,,
silence,13m 10s,13m 12s,,1.839,790.658,792.498,163,,,,,,,
student,13m 12s,13m 13s,,1.082,792.498,793.58,164,,,,,,,
student,13m 13s,13m 16s,I want to see the temple.,3.28,793.58,796.86,164,,,,,,,
student,13m 16s,13m 20s,,3.14,796.86,800,164,,,,,,,
group,13m 20s,13m 26s,[Untranscribed],6.12,800,806.12,165,,,,,,,
teacher,13m 26s,13m 28s,[Untranscribed],2.0,806.12,808.12,166,,,,,,,
