speaker,start_time,end_time,utterance,duration_in_seconds,start_time_in_seconds,end_time_in_seconds,bubble_idx,opportunities_to_respond,wait_times,presses_for_explanation,open_ended_questions,praises,behavior_specific_praises,academic_specific_praises
teacher,1m 8s,1m 9s,,0.96,68.65,69.61,18,,,,,,,
teacher,1m 9s,1m 10s,"Yep, yep, yep.",1.04,69.61,70.65,18,,,,,,,
student,1m 10s,1m 12s,[Untranscribed],1.52,70.65,72.17,19,,,,,,,
teacher,1m 12s,1m 15s,"Okay, Okay.",3.44,72.17,75.61,20,,,,,,,
teacher,1m 15s,1m 15s,,0.122,75.61,75.732,20,,,,,,,
silence,1m 15s,1m 18s,,2.678,75.732,78.41,21,,,,,,,
teacher,1m 18s,1m 18s,Okay.,0.24,78.41,78.65,22,,,,,,,
teacher,1m 18s,1m 21s,"Colin, you did one of the quizzes, but I don't think you did the other.",3.28,78.65,81.93,22,,,,,,,
student,1m 21s,1m 27s,[Untranscribed],5.99,81.93,87.92,23,,,,,,,
teacher,1m 27s,1m 29s,,1.13,87.92,89.05,24,,,,,,,
teacher,1m 29s,1m 41s,"You have to type in the code because some people had issues in my previous block with the integration into schoology, so I switched to doing it old school.",12.16,89.05,101.21,24,,,,,,,
teacher,1m 41s,1m 42s,You all have to put in the cold.,1.44,101.21,102.65,24,,,,,,,
teacher,1m 42s,1m 42s,,0.32,102.65,102.97,24,,,,,,,
teacher,1m 42s,1m 45s,"Okay, let's see.",2.72,102.97,105.69,24,,,,,,,
student,1m 45s,1m 53s,[Untranscribed],7.36,105.69,113.05,25,,,,,,,
teacher,1m 53s,1m 53s,All right.,0.4,113.05,113.45,26,,,,,,,
teacher,1m 53s,1m 58s,"You did the investigated quiz, but I still need you to do the other quiz.",5.16,113.45,118.61,26,,,,,,,
student,1m 58s,1m 59s,Okay.,0.68,118.61,119.29,27,,,,,,,
student,1m 59s,2m 4s,,5.12,119.29,124.41,27,,,,,,,
teacher,2m 4s,2m 4s,All right.,0.32,124.41,124.73,28,,,,,,,
teacher,2m 4s,2m 5s,That is the bell.,0.64,124.73,125.37,28,,,,,,,
teacher,2m 5s,2m 6s,So we're going to go ahead and get started.,1.52,125.37,126.89,28,,,,,,,
student,2m 6s,2m 9s,,2.88,126.89,129.77,29,,,,,,,
student,2m 9s,2m 10s,Welcome to time.,0.88,129.77,130.65,29,,,,,,,
student,2m 10s,2m 12s,,2.18,130.65,132.83,29,,,,,,,
teacher,2m 12s,2m 13s,Lesson four.,0.8,132.83,133.63,30,,,,,,,
teacher,2m 13s,2m 14s,,0.48,133.63,134.11,30,,,,,,,
teacher,2m 14s,2m 15s,Language objectives.,1.6,134.11,135.71,30,,,,,,,
teacher,2m 15s,2m 16s,,0.64,135.71,136.35,30,,,,,,,
teacher,2m 16s,2m 30s,"Students will, through speaking and writing, compare, integrate and summarize sources of information to explain how bacteria growing and reproducing in humans can cause us to",14.6,136.35,150.95,30,,,,,,,
student,2m 30s,2m 31s,experience.,0.36,150.95,151.31,31,,,,,,,
student,2m 31s,2m 32s,,1.36,151.31,152.67,31,,,,,,,
teacher,2m 32s,2m 37s,"The task will be discussion, video, lesson, pen written to somebody.",4.72,152.67,157.39,32,,,,,,,
teacher,2m 37s,2m 38s,,1.232,157.39,158.622,32,,,,,,,
student,2m 38s,2m 40s,[Untranscribed],1.478,158.622,160.1,33,,,,,,,
teacher,2m 40s,2m 40s,"All right,",0.32,160.1,160.42,34,,,,,,,
student,2m 40s,2m 42s,[Untranscribed],2.56,160.42,162.98,35,,,,,,,
teacher,2m 42s,2m 46s,so let's go ahead with the first question.,3.28,162.98,166.26,36,,,,,,,
teacher,2m 46s,2m 47s,,0.85,166.26,167.11,36,,,,,,,
silence,2m 47s,2m 49s,,1.95,167.11,169.06,37,,,,,,,
teacher,2m 49s,2m 51s,Reflection on previous lessons.,2.16,169.06,171.22,38,,,,,,,
teacher,2m 51s,2m 53s,,2.68,171.22,173.9,38,,,,,,,
student,2m 53s,2m 55s,[Untranscribed],1.48,173.9,175.38,39,,,,,,,
teacher,2m 55s,2m 56s,¿What do they need to live?,1.48,175.38,176.86,40,,,,,,,
teacher,2m 56s,3m 2s,It's join nearpod by writing or recording an audio.,5.64,176.86,182.5,40,,,,,,,
teacher,3m 2s,3m 2s,,0.0,182.5,182.5,40,,,,,,,
student,3m 2s,3m 8s,[Untranscribed],6.25,182.5,188.75,41,,,,,,,
teacher,3m 8s,3m 10s,"All right, so I'm put up a four minute timer.",1.92,188.75,190.67,42,,,,,,,
teacher,3m 10s,3m 14s,That's more than enough time for y' all to log in and answer that question.,3.84,190.67,194.51,42,,,,,,,
student,3m 14s,3m 22s,[Untranscribed],8.46,194.51,202.97,43,,,,,,,
silence,3m 22s,3m 28s,,5.079,202.97,208.049,44,,,,,,,
student,3m 28s,3m 35s,[Untranscribed],7.431,208.049,215.48,45,,,,,,,
teacher,3m 35s,3m 42s,"Guys, I don't know what that has to do with biology, but it don't, so get it together.",7.28,215.48,222.76,46,,,,,,,
student,3m 42s,3m 45s,[Untranscribed],2.316,222.76,225.076,47,,,,,,,
silence,3m 45s,3m 47s,,2.329,225.076,227.405,48,,,,,,,
student,3m 47s,3m 54s,[Untranscribed],7.104,227.405,234.509,49,,,,,,,
silence,3m 54s,3m 57s,,2.498,234.509,237.007,50,,,,,,,
student,3m 57s,3m 59s,[Untranscribed],2.498,237.007,239.504,51,,,,,,,
silence,3m 59s,4m 2s,,3.426,239.504,242.93,52,,,,,,,
teacher,4m 2s,4m 4s,Reflection on previous lessons.,2.0,242.93,244.93,53,,,,,,,
teacher,4m 4s,4m 6s,,1.28,244.93,246.21,53,,,,,,,
teacher,4m 6s,4m 8s,¿How do Bacteria grow and reproduce?,2.4,246.21,248.61,53,,,,,,,
teacher,4m 8s,4m 9s,,0.4,248.61,249.01,53,,,,,,,
media,4m 9s,4m 10s,¿What do they need to live?,1.68,249.01,250.69,54,,,,,,,
media,4m 10s,4m 11s,,0.48,250.69,251.17,54,,,,,,,
teacher,4m 11s,4m 16s,You can share your thoughts by writing or recording an audio.,5.12,251.17,256.29,55,,,,,,,
teacher,4m 16s,4m 17s,,0.764,256.29,257.054,55,,,,,,,
silence,4m 17s,4m 24s,,7.897,257.054,264.952,56,,,,,,,
student,4m 24s,4m 25s,,0.228,264.952,265.18,57,,,,,,,
student,4m 25s,4m 25s,I'm here.,0.64,265.18,265.82,57,,,,,,,
student,4m 25s,4m 26s,Don't mark me.,0.72,265.82,266.54,57,,,,,,,
student,4m 26s,4m 27s,Absent.,0.64,266.54,267.18,57,,,,,,,
student,4m 27s,4m 34s,,7.323,267.18,274.503,57,,,,,,,
silence,4m 34s,4m 37s,,2.757,274.503,277.26,58,,,,,,,
student,4m 37s,4m 38s,¿What are we doing here?,1.36,277.26,278.62,59,,,,,,,
student,4m 38s,4m 38s,,0.068,278.62,278.688,59,,,,,,,
silence,4m 38s,4m 43s,,4.809,278.688,283.497,60,,,,,,,
student,4m 43s,4m 45s,[Untranscribed],2.008,283.497,285.505,61,,,,,,,
silence,4m 45s,5m 4s,,19.001,285.505,304.507,62,,,,,,,
student,5m 4s,5m 7s,[Untranscribed],3.004,304.507,307.51,63,,,,,,,
silence,5m 7s,5m 12s,,4.776,307.51,312.286,64,,,,,,,
student,5m 12s,5m 15s,[Untranscribed],3.223,312.286,315.509,65,,,,,,,
silence,5m 15s,5m 18s,,2.531,315.509,318.04,66,,,,,,,
student,5m 18s,5m 20s,[Untranscribed],2.0,318.04,320.04,67,,,,,,,
teacher,5m 20s,5m 22s,[Untranscribed],2.455,320.04,322.495,68,,,,,,,
silence,5m 22s,5m 24s,,2.059,322.495,324.554,69,,,,,,,
student,5m 24s,5m 29s,[Untranscribed],4.966,324.554,329.52,70,,,,,,,
teacher,5m 29s,5m 30s,"All right, about two and a half minutes.",1.44,329.52,330.96,71,,,,,,,
student,5m 30s,5m 35s,[Untranscribed],4.77,330.96,335.73,72,,,,,,,
teacher,5m 35s,5m 38s,[Untranscribed],3.0,335.73,338.73,73,,,,,,,
student,5m 38s,5m 38s,,0.11,338.73,338.84,74,,,,,,,
student,5m 38s,5m 39s,Fresh nearpod.,0.8,338.84,339.64,74,,,,,,,
student,5m 39s,5m 40s,,0.8,339.64,340.44,74,,,,,,,
teacher,5m 40s,5m 41s,Not nearpod.,0.96,340.44,341.4,75,,,,,,,
teacher,5m 41s,5m 42s,,0.88,341.4,342.28,75,,,,,,,
student,5m 42s,5m 43s,Join nearpod.,1.12,342.28,343.4,76,,,,,,,
student,5m 43s,5m 45s,,1.6,343.4,345.0,76,,,,,,,
student,5m 45s,5m 50s,I went to nearpod and I don't join nearpod.,5.76,345.0,350.76,76,,,,,,,
teacher,5m 50s,5m 52s,Dot com type in that code.,2.08,350.76,352.84,77,,,,,,,
teacher,5m 52s,5m 53s,,0.56,352.84,353.4,77,,,,,,,
student,5m 53s,5m 54s,"Oh, you can do it.",0.88,353.4,354.28,78,,,,,,,
student,5m 54s,5m 55s,,1.28,354.28,355.56,78,,,,,,,
teacher,5m 55s,5m 56s,¿Why is it not showing up?,1.36,355.56,356.92,79,,,,,,,
student,5m 56s,6m 2s,[Untranscribed],6.0,356.92,362.92,80,,,,,,,
teacher,6m 2s,6m 3s,¿Where's my phone?,0.88,362.92,363.8,81,,,,,,,
student,6m 3s,6m 6s,[Untranscribed],2.705,363.8,366.505,82,,,,,,,
silence,6m 6s,6m 8s,,2.005,366.505,368.51,83,,,,,,,
teacher,6m 8s,6m 9s,Towns G.,0.8,368.51,369.31,84,,,,,,,
teacher,6m 9s,6m 10s,,1.195,369.31,370.505,84,,,,,,,
student,6m 10s,6m 18s,[Untranscribed],7.525,370.505,378.03,85,,,,,,,
teacher,6m 18s,6m 19s,I didn't see her.,1.2,378.03,379.23,86,,,,,,,
student,6m 19s,6m 20s,[Untranscribed],1.282,379.23,380.512,87,,,,,,,
silence,6m 20s,6m 22s,,2.238,380.512,382.75,88,,,,,,,
silence,6m 22s,6m 23s,"No, ma', am.",0.72,382.75,383.47,88,,,,,,,
silence,6m 23s,6m 27s,,4.4,383.47,387.87,88,,,,,,,
teacher,6m 27s,6m 29s,I don't see her at home.,1.56,387.87,389.43,89,,,,,,,
teacher,6m 29s,6m 30s,We have like three.,1.28,389.43,390.71,89,,,,,,,
teacher,6m 30s,6m 31s,Four girls in here.,1.24,390.71,391.95,89,,,,,,,
teacher,6m 31s,6m 32s,,0.24,391.95,392.19,89,,,,,,,
teacher,6m 32s,6m 32s,Let me see.,0.64,392.19,392.83,89,,,,,,,
teacher,6m 32s,6m 32s,,0.08,392.83,392.91,89,,,,,,,
teacher,6m 32s,6m 34s,Does she have do I have her this block.,1.56,392.91,394.47,89,,,,,,,
teacher,6m 34s,6m 35s,Let me check.,0.6,394.47,395.07,89,,,,,,,
teacher,6m 35s,6m 35s,,0.16,395.07,395.23,89,,,,,,,
teacher,6m 35s,6m 36s,Double check.,0.88,395.23,396.11,89,,,,,,,
teacher,6m 36s,6m 37s,,1.44,396.11,397.55,89,,,,,,,
teacher,6m 37s,6m 39s,If it's this block here.,1.72,397.55,399.27,89,,,,,,,
teacher,6m 39s,6m 41s,Fifth supposed to be this block.,2.44,399.27,401.71,89,,,,,,,
teacher,6m 41s,6m 42s,,1.12,401.71,402.83,89,,,,,,,
teacher,6m 42s,6m 44s,"Yeah, I don't have her this block.",1.52,402.83,404.35,89,,,,,,,
student,6m 44s,6m 48s,[Untranscribed],4.0,404.35,408.35,90,,,,,,,
teacher,6m 48s,6m 49s,Okay.,0.72,408.35,409.07,91,,,,,,,
teacher,6m 49s,6m 49s,,0.72,409.07,409.79,91,,,,,,,
student,6m 49s,6m 50s,,0.4,409.79,410.19,92,,,,,,,
student,6m 50s,6m 50s,Welcome.,0.6,410.19,410.79,92,,,,,,,
student,6m 50s,6m 51s,Bye bye.,0.6,410.79,411.39,92,,,,,,,
student,6m 51s,6m 52s,,1.117,411.39,412.507,92,,,,,,,
silence,6m 52s,6m 59s,,7.003,412.507,419.51,93,,,,,,,
student,6m 59s,7m 1s,[Untranscribed],1.991,419.51,421.501,94,,,,,,,
silence,7m 1s,7m 3s,,2.008,421.501,423.509,95,,,,,,,
student,7m 3s,7m 9s,[Untranscribed],5.731,423.509,429.24,96,,,,,,,
teacher,7m 9s,7m 9s,Angie.,0.56,429.24,429.8,97,,,,,,,
teacher,7m 9s,7m 10s,No.,0.32,429.8,430.12,97,,,,,,,
teacher,7m 10s,7m 10s,Angie.,0.64,430.12,430.76,97,,,,,,,
group,7m 10s,7m 15s,[Untranscribed],4.24,430.76,435,98,,,,,,,
student,7m 15s,7m 15s,,0.64,435,435.64,99,,,,,,,
student,7m 15s,7m 16s,Kevin.,0.8,435.64,436.44,99,,,,,,,
student,7m 16s,7m 16s,,0.16,436.44,436.6,99,,,,,,,
student,7m 16s,7m 19s,No kill husband.,2.88,436.6,439.48,99,,,,,,,
student,7m 19s,7m 26s,,6.73,439.48,446.21,99,,,,,,,
teacher,7m 26s,7m 27s,"Colin, I want you asking.",1.16,446.21,447.37,100,,,,,,,
teacher,7m 27s,7m 28s,Getting your seat.,0.92,447.37,448.29,100,,,,,,,
teacher,7m 28s,7m 28s,,0.08,448.29,448.37,100,,,,,,,
student,7m 28s,7m 31s,"Oh, was it my seat at first for the.",2.68,448.37,451.05,101,,,,,,,
teacher,7m 31s,7m 32s,I just get in your seat.,1.72,451.05,452.77,102,,,,,,,
silence,7m 32s,7m 36s,,3.73,452.77,456.5,103,,,,,,,
student,7m 36s,7m 40s,,3.55,456.5,460.05,104,,,,,,,
student,7m 40s,7m 40s,Deandre.,0.72,460.05,460.77,104,,,,,,,
student,7m 40s,7m 42s,,1.36,460.77,462.13,104,,,,,,,
teacher,7m 42s,7m 43s,"Deandre, Getting your seat.",1.52,462.13,463.65,105,,,,,,,
student,7m 43s,7m 45s,[Untranscribed],1.44,463.65,465.09,106,,,,,,,
teacher,7m 45s,7m 46s,Get your seat.,1.12,465.09,466.21,107,,,,,,,
teacher,7m 46s,7m 46s,,0.297,466.21,466.507,107,,,,,,,
student,7m 46s,7m 51s,[Untranscribed],4.673,466.507,471.18,108,,,,,,,
teacher,7m 51s,7m 53s,I'm just gonna mark you abs until you get there.,2.08,471.18,473.26,109,,,,,,,
teacher,7m 53s,7m 54s,,1.28,473.26,474.54,109,,,,,,,
teacher,7m 54s,7m 56s,You better hope I remember to change it back.,1.76,474.54,476.3,109,,,,,,,
teacher,7m 56s,7m 57s,,1.023,476.3,477.323,109,,,,,,,
silence,7m 57s,7m 59s,,1.937,477.323,479.26,110,,,,,,,
teacher,7m 59s,8m 2s,¿Is Rosalba here?,2.8,479.26,482.06,111,,,,,,,
teacher,8m 2s,8m 2s,,0.32,482.06,482.38,111,,,,,,,
student,8m 2s,8m 2s,No.,0.4,482.38,482.78,112,,,,,,,
student,8m 2s,8m 7s,,5.04,482.78,487.82,112,,,,,,,
teacher,8m 7s,8m 8s,All right.,0.32,487.82,488.14,113,,,,,,,
teacher,8m 8s,8m 9s,Let's see what you guys have.,1.2,488.14,489.34,113,,,,,,,
student,8m 9s,8m 12s,[Untranscribed],2.96,489.34,492.3,114,,,,,,,
teacher,8m 12s,8m 14s,They grow through binary vision which is splitting.,2.6,492.3,494.9,115,,,,,,,
teacher,8m 14s,8m 15s,Okay.,0.6,494.9,495.5,115,,,,,1,,
teacher,8m 15s,8m 16s,,1.06,495.5,496.56,115,,,,,1,,
teacher,8m 16s,8m 17s,"Good job, David.",0.96,496.56,497.52,115,,,,,1,,
teacher,8m 17s,8m 18s,,0.48,497.52,498.0,115,,,,,,,
teacher,8m 18s,8m 21s,They grow in an affected place and need space.,3.12,498.0,501.12,115,,,,,,,
teacher,8m 21s,8m 21s,,0.16,501.12,501.28,115,,,,,,,
teacher,8m 21s,8m 22s,Okay.,0.92,501.28,502.2,115,,,,,,,
teacher,8m 22s,8m 23s,"Thank you, Jeffrey.",1.0,502.2,503.2,115,,,,,,,
teacher,8m 23s,8m 24s,,0.8,503.2,504.0,115,,,,,,,
teacher,8m 24s,8m 24s,Colin.,0.6,504.0,504.6,115,,,,,,,
teacher,8m 24s,8m 27s,"Once bacteria reach colder places, they tend to grow faster.",2.84,504.6,507.44,115,,,,,,,
teacher,8m 27s,8m 28s,,0.72,507.44,508.16,115,,,,,,,
teacher,8m 28s,8m 31s,It's almost the opposite of most bacteria that they need,3.36,508.16,511.52,115,,,,,,,
student,8m 31s,8m 40s,[Untranscribed],8.8,511.52,520.32,116,,,,,,,
teacher,8m 40s,8m 41s,warmer environments.,1.12,520.32,521.44,117,,,,,,,
student,8m 41s,8m 44s,,3.04,521.44,524.48,118,,,,,,,
student,8m 44s,8m 44s,All right.,0.32,524.48,524.8,118,,,,,,,
teacher,8m 44s,8m 47s,It can reproduce colder places.,2.68,524.8,527.48,119,,,,,,,
teacher,8m 47s,8m 48s,Than you eat a host.,1.0,527.48,528.48,119,,,,,,,
teacher,8m 48s,8m 48s,,0.481,528.48,528.961,119,,,,,,,
student,8m 48s,8m 51s,[Untranscribed],2.479,528.961,531.44,120,,,,,,,
teacher,8m 51s,8m 52s,Does not eat a host.,1.36,531.44,532.8,121,,,,,,,
teacher,8m 52s,8m 53s,,0.7,532.8,533.5,121,,,,,,,
student,8m 53s,8m 55s,[Untranscribed],2.02,533.5,535.52,122,,,,,,,
teacher,8m 55s,9m 0s,"Just so, you know, they grow in effective places and grow binary vision.",5.2,535.52,540.72,123,,,,,,,
teacher,9m 0s,9m 1s,,0.56,540.72,541.28,123,,,,,,,
teacher,9m 1s,9m 2s,"Great job, Manuel.",1.0,541.28,542.28,123,,,,,1,,
teacher,9m 2s,9m 4s,They grow in your body and reproduction your body.,2.2,542.28,544.48,123,,,,,1,,
teacher,9m 4s,9m 4s,,0.24,544.48,544.72,123,,,,,1,,
teacher,9m 4s,9m 5s,"Good job, Korean.",1.2,544.72,545.92,123,,,,,1,,
teacher,9m 5s,9m 6s,,0.16,545.92,546.08,123,,,,,1,,
teacher,9m 6s,9m 6s,Irwin.,0.72,546.08,546.8,123,,,,,1,,
teacher,9m 6s,9m 8s,"Effective places, space.",1.36,546.8,548.16,123,,,,,1,,
teacher,9m 8s,9m 8s,,0.44,548.16,548.6,123,,,,,1,,
teacher,9m 8s,9m 9s,Okay.,0.56,548.6,549.16,123,,,,,1,,
teacher,9m 9s,9m 9s,Great.,0.16,549.16,549.32,123,,,,,1,,
teacher,9m 9s,9m 10s,Thank you all for participating.,1.6,549.32,550.92,123,,,,,1,,
teacher,9m 10s,9m 11s,,0.32,550.92,551.24,123,,,,,,,
teacher,9m 11s,9m 12s,I couldn't get through.,1.28,551.24,552.52,123,,,,,,,
teacher,9m 12s,9m 12s,,0.16,552.52,552.68,123,,,,,,,
teacher,9m 12s,9m 13s,It's okay.,0.76,552.68,553.44,123,,,,,,,
teacher,9m 13s,9m 14s,But I gotta we.,0.64,553.44,554.08,123,,,,,,,
teacher,9m 14s,9m 15s,Gotta we got time.,0.92,554.08,555.0,123,,,,,,,
teacher,9m 15s,9m 15s,,0.48,555.0,555.48,123,,,,,,,
teacher,9m 15s,9m 19s,¿Does this same type of growth happen on or inside our body?,4.36,555.48,559.84,123,,,,,,,
teacher,9m 19s,9m 20s,It's the code.,0.72,559.84,560.56,123,,,,,,,
teacher,9m 20s,9m 21s,Right there.,0.52,560.56,561.08,123,,,,,,,
teacher,9m 21s,9m 21s,,0.32,561.08,561.4,123,,,,,,,
teacher,9m 21s,9m 23s,¿What happens to our bodies when it does?,2.16,561.4,563.56,123,,,,,,,
teacher,9m 23s,9m 26s,¿And how do we know when it's happening?,2.48,563.56,566.04,123,,,,,,,
teacher,9m 26s,9m 26s,,0.32,566.04,566.36,123,,,,,,,
teacher,9m 26s,9m 26s,¿So?,0.28,566.36,566.64,123,,,,,,,
teacher,9m 26s,9m 29s,¿Does the same type of growth happen on or inside our bodies?,3.32,566.64,569.96,123,,,,,,,
teacher,9m 29s,9m 30s,,0.48,569.96,570.44,123,,,,,,,
teacher,9m 30s,9m 31s,Trey.,0.64,570.44,571.08,123,,,,,,,
teacher,9m 31s,9m 31s,,0.24,571.08,571.32,123,,,,,,,
student,9m 31s,9m 32s,¿What do you think?,0.72,571.32,572.04,124,,,,,,,
student,9m 32s,9m 33s,,1.68,572.04,573.72,124,,,,,,,
student,9m 33s,9m 34s,¿What did I click?,1.09,573.72,574.81,124,,,,,,,
student,9m 34s,9m 36s,,1.59,574.81,576.4,124,,,,,,,
teacher,9m 36s,9m 38s,You go to join Nearpod com.,2.28,576.4,578.68,125,,,,,,,
student,9m 38s,9m 39s,It's talking about.,0.64,578.68,579.32,126,,,,,,,
student,9m 39s,9m 40s,I have a virus threat.,1.64,579.32,580.96,126,,,,,,,
student,9m 40s,9m 41s,"Oh, no.",0.88,580.96,581.84,126,,,,,,,
student,9m 41s,9m 42s,,0.32,581.84,582.16,126,,,,,,,
student,9m 42s,9m 44s,I'm not about to pay no click off of it.,2.52,582.16,584.68,126,,,,,,,
student,9m 44s,9m 45s,You just close doors.,1.0,584.68,585.68,126,,,,,,,
student,9m 45s,9m 50s,"No, but I typed in join in Join Nearpod.",5.0,585.68,590.68,126,,,,,,,
student,9m 50s,9m 51s,Dot com.,0.4,590.68,591.08,126,,,,,,,
student,9m 51s,9m 51s,Right.,0.44,591.08,591.52,126,,,,,,,
teacher,9m 51s,9m 53s,Join Dot It the whole period.,2.16,591.52,593.68,127,,,,,,,
teacher,9m 53s,9m 54s,,0.32,593.68,594.0,127,,,,,,,
student,9m 54s,9m 54s,"Oh, yeah.",0.64,594.0,594.64,128,,,,,,,
student,9m 54s,9m 55s,"No, that's fine.",0.96,594.64,595.6,128,,,,,,,
student,9m 55s,9m 58s,,2.8,595.6,598.4,128,,,,,,,
teacher,9m 58s,9m 59s,There you go.,0.8,598.4,599.2,129,,,,,,,
teacher,9m 59s,9m 59s,,0.298,599.2,599.498,129,,,,,,,
student,9m 59s,10m 2s,,2.542,599.498,602.04,130,,,,,,,
student,10m 2s,10m 2s,All right.,0.32,602.04,602.36,130,,,,,,,
student,10m 2s,10m 2s,,0.24,602.36,602.6,130,,,,,,,
teacher,10m 2s,10m 6s,¿And then what are some symptoms of an infection?,3.6,602.6,606.2,131,,,,,,,
teacher,10m 6s,10m 7s,,0.88,606.2,607.08,131,,,,,,,
teacher,10m 7s,10m 8s,¿How do you know you have an infection?,1.6,607.08,608.68,131,1,,1,1,,,
student,10m 8s,10m 9s,Itch rash.,1.28,608.68,609.96,132,,,,,,,
student,10m 9s,10m 10s,,0.32,609.96,610.28,132,,,,,,,
teacher,10m 10s,10m 11s,Itch rash.,1.08,610.28,611.36,133,,,,,1,,1
teacher,10m 11s,10m 11s,That's good.,0.6,611.36,611.96,133,,,,,1,,1
teacher,10m 11s,10m 12s,,0.549,611.96,612.509,133,,,,,,,
student,10m 12s,10m 15s,[Untranscribed],2.731,612.509,615.24,134,,,,,,,
teacher,10m 15s,10m 16s,¿What are some symptoms?,1.079,615.24,616.319,135,1,,,1,,,
teacher,10m 16s,10m 17s,¿Is Zakaya here?,1.321,616.319,617.64,135,,,,,,,
teacher,10m 17s,10m 17s,,0.08,617.64,617.72,135,,,,,,,
teacher,10m 17s,10m 18s,No.,0.4,617.72,618.12,135,,,,,,,
student,10m 18s,10m 19s,[Untranscribed],1.6,618.12,619.72,136,,,,,,,
teacher,10m 19s,10m 20s,Itch rash.,0.8,619.72,620.52,137,,,,,,,
teacher,10m 20s,10m 21s,¿What else you said?,0.56,620.52,621.08,137,1,,,1,,,
teacher,10m 21s,10m 21s,,0.8,621.08,621.88,137,,,,,,,
teacher,10m 21s,10m 22s,Coffin.,0.88,621.88,622.76,137,,,,,,,
student,10m 22s,10m 29s,,6.41,622.76,629.17,138,,,,,,,
student,10m 29s,10m 29s,Okay.,0.56,629.17,629.73,138,,,,,,,
